Id,NAME,Bachelor,Graduate,Higher Education
0500000US36001,Albany County,20.1,18.6,38.7
0500000US36003,Allegany County,9.5,9.6,19.1
0500000US36005,Bronx County,11.8,6.5,18.3
0500000US36007,Broome County,14.5,11.7,26.2
0500000US36009,Cattaraugus County,10.2,7.7,17.9
0500000US36011,Cayuga County,11.8,8.4,20.2
0500000US36013,Chautauqua County,11.5,9.6,21.1
0500000US36015,Chemung County,12.6,10.3,22.9
0500000US36017,Chenango County,9.8,7.4,17.2
0500000US36019,Clinton County,12.1,10.4,22.5
0500000US36021,Columbia County,14.2,14.2,28.4
0500000US36023,Cortland County,13.2,9.5,22.7
0500000US36025,Delaware County,11.6,8.9,20.5
0500000US36027,Dutchess County,18.4,15.1,33.5
0500000US36029,Erie County,17.2,14,31.2
0500000US36031,Essex County,13.4,10.4,23.8
0500000US36033,Franklin County,9.1,8.6,17.7
0500000US36035,Fulton County,8.6,7.1,15.7
0500000US36037,Genesee County,12.5,7.8,20.3
0500000US36039,Greene County,11.6,8.5,20.1
0500000US36041,Hamilton County,12.4,11.3,23.7
0500000US36043,Herkimer County,12.6,8.6,21.2
0500000US36045,Jefferson County,11.8,8.7,20.5
0500000US36047,Kings County,19.4,12.2,31.6
0500000US36049,Lewis County,8,6.2,14.2
0500000US36051,Livingston County,13.2,10.7,23.9
0500000US36053,Madison County,15.1,12.1,27.2
0500000US36055,Monroe County,20,15.9,35.9
0500000US36057,Montgomery County,9.9,6.5,16.4
0500000US36059,Nassau County,23.2,19,42.2
0500000US36061,New York County,31.3,28,59.3
0500000US36063,Niagara County,13.5,9.4,22.9
0500000US36065,Oneida County,13.8,9.4,23.2
0500000US36067,Onondaga County,18.6,14.8,33.4
0500000US36069,Ontario County,17.7,13.9,31.6
0500000US36071,Orange County,16.8,11.8,28.6
0500000US36073,Orleans County,10.3,5.9,16.2
0500000US36075,Oswego County,10.1,7.6,17.7
0500000US36077,Otsego County,14.6,12.6,27.2
0500000US36079,Putnam County,21.7,16.6,38.3
0500000US36081,Queens County,19.3,10.9,30.2
0500000US36083,Rensselaer County,16.3,12.2,28.5
0500000US36085,Richmond County,18.6,12,30.6
0500000US36087,Rockland County,22.5,18.2,40.7
0500000US36089,St Lawrence County,10.8,10.8,21.6
0500000US36091,Saratoga County,22.2,15.9,38.1
0500000US36093,Schenectady County,16,13.8,29.8
0500000US36095,Schoharie County,11.1,8,19.1
0500000US36097,Schuyler County,9.5,8.5,18
0500000US36099,Seneca County,11.5,8.1,19.6
0500000US36101,Steuben County,10.8,10.1,20.9
0500000US36103,Suffolk County,18.4,15.1,33.5
0500000US36105,Sullivan County,12.1,9,21.1
0500000US36107,Tioga County,13.9,9.9,23.8
0500000US36109,Tompkins County,21.2,29.1,50.3
0500000US36111,Ulster County,16.4,13.7,30.1
0500000US36113,Warren County,15.6,12.7,28.3
0500000US36115,Washington County,10.8,7.7,18.5
0500000US36117,Wayne County,12.8,8.5,21.3
0500000US36119,Westchester County,23.4,22.7,46.1
0500000US36121,Wyoming County,9.2,5.5,14.7
0500000US36123,Yates County,12.3,11.9,24.2
