Id,NAME,Tax
0500000US36001,Albany County,3.79
0500000US36003,Allegany County,15.57
0500000US36005,Bronx County,10.09
0500000US36007,Broome County,7.41
0500000US36009,Cattaraugus County,12.62
0500000US36011,Cayuga County,8.53
0500000US36013,Chautauqua County,8.47
0500000US36015,Chemung County,8.24
0500000US36017,Chenango County,10.3
0500000US36019,Clinton County,4.65
0500000US36021,Columbia County,6.07
0500000US36023,Cortland County,14.4
0500000US36025,Delaware County,5.53
0500000US36027,Dutchess County,3.74
0500000US36029,Erie County,5.89
0500000US36031,Essex County,3.21
0500000US36033,Franklin County,4.62
0500000US36035,Fulton County,8.55
0500000US36037,Genesee County,9.86
0500000US36039,Greene County,4.33
0500000US36041,Hamilton County,2.25
0500000US36043,Herkimer County,5.74
0500000US36045,Jefferson County,7
0500000US36047,Kings County,10.09
0500000US36049,Lewis County,7.44
0500000US36051,Livingston County,8.02
0500000US36053,Madison County,8.37
0500000US36055,Monroe County,9.37
0500000US36057,Montgomery County,12.7
0500000US36059,Nassau County,4.62
0500000US36061,New York County,10.09
0500000US36063,Niagara County,8.49
0500000US36065,Oneida County,6.77
0500000US36067,Onondaga County,6.21
0500000US36069,Ontario County,6.3
0500000US36071,Orange County,3.98
0500000US36073,Orleans County,9.9
0500000US36075,Oswego County,8.89
0500000US36077,Otsego County,2.85
0500000US36079,Putnam County,3.09
0500000US36081,Queens County,10.09
0500000US36083,Rensselaer County,6.83
0500000US36085,Richmond County,10.09
0500000US36087,Rockland County,3.82
0500000US36089,St Lawrence County,8.99
0500000US36091,Saratoga County,2.87
0500000US36093,Schenectady County,7.85
0500000US36095,Schoharie County,9.19
0500000US36097,Schuyler County,8.22
0500000US36099,Seneca County,4.96
0500000US36101,Steuben County,7.5
0500000US36103,Suffolk County,2.91
0500000US36105,Sullivan County,7.96
0500000US36107,Tioga County,8.99
0500000US36109,Tompkins County,6.24
0500000US36111,Ulster County,4.37
0500000US36113,Warren County,3.85
0500000US36115,Washington County,6.8
0500000US36117,Wayne County,7.91
0500000US36119,Westchester County,4.25
0500000US36121,Wyoming County,9.76
0500000US36123,Yates County,6.95
